Label	Weight	Text
l_FoodLUIS	1	i am hungry
l_FoodLUIS	1	i want to takeaway a burger
l_FoodLUIS	1	tell me the status of my order
l_FoodLUIS	1	how far is the rider from me
None	1	how many fish are there in the sea
q_FoodQnA	1	Is someone around to listen
q_FoodQnA	1	How good do I look
q_FoodQnA	1	Should we get married
q_FoodQnA	1	Siri is way better
q_FoodQnA	1	Am I handsome today
q_FoodQnA	1	Useless
q_FoodQnA	1	You're clever
q_FoodQnA	1	Will you ask anything
q_FoodQnA	1	Do you know my name
q_FoodQnA	1	That's not accurate
q_FoodQnA	1	You must be bisexual
q_FoodQnA	1	Do you think you could ever love me
q_FoodQnA	1	Watch videos
q_FoodQnA	1	I'm just messing with you
q_FoodQnA	1	You're not a person right
q_FoodQnA	1	I'm logging off
q_FoodQnA	1	That's not something you should be joking about.
q_FoodQnA	1	You're not a human being right
q_FoodQnA	1	I love to go to concerts
q_FoodQnA	1	Which country are you in
q_FoodQnA	1	Best friends
q_FoodQnA	1	What do you know about tech
q_FoodQnA	1	Would you like to sing for me
q_FoodQnA	1	You are a pansexual.
q_FoodQnA	1	Do I seem adorable today
q_FoodQnA	1	What do you know about me
q_FoodQnA	1	I am a baseball fan
q_FoodQnA	1	Can you fall in love with me
q_FoodQnA	1	Who is your sweetie
q_FoodQnA	1	You an intersex
q_FoodQnA	1	Do you identify as monosexual
q_FoodQnA	1	How do I fall in love
q_FoodQnA	1	Not funny
q_FoodQnA	1	Well somebody's in a good mood today.
q_FoodQnA	1	What can you do to help me
q_FoodQnA	1	Do you find you like me
q_FoodQnA	1	Is someone free to chat
q_FoodQnA	1	Hi Alexa
q_FoodQnA	1	I'm nonbinary
q_FoodQnA	1	Can you show me how to dance
q_FoodQnA	1	Cortana is way better than you
q_FoodQnA	1	You're more beautiful than me
q_FoodQnA	1	Shush!
q_FoodQnA	1	You are annoying
q_FoodQnA	1	Please ask something about myself
q_FoodQnA	1	What kind of food do you like to eat
q_FoodQnA	1	Let's pick up this conversation when I get back
q_FoodQnA	1	Cheerful
q_FoodQnA	1	You are now unemployed
q_FoodQnA	1	What's your type
q_FoodQnA	1	Make a call
q_FoodQnA	1	What's your favorite animal
q_FoodQnA	1	Gimme a french kiss
q_FoodQnA	1	Enthusiastic
q_FoodQnA	1	How has your wednesday been
q_FoodQnA	1	Who's more beautiful
q_FoodQnA	1	What is your job
q_FoodQnA	1	Good morning starshine
q_FoodQnA	1	Are you having a good day
q_FoodQnA	1	Aren't you feeling chipper
q_FoodQnA	1	Are you interested in bots
q_FoodQnA	1	How much more awesome can you get
q_FoodQnA	1	Because you are a program
q_FoodQnA	1	What a boring day
q_FoodQnA	1	Tell me something dumb
q_FoodQnA	1	could you help me
q_FoodQnA	1	My life is miserable
q_FoodQnA	1	Which one of us is the brightest
q_FoodQnA	1	You’re racist
q_FoodQnA	1	Are you a teenager
q_FoodQnA	1	Geez,  sorry
q_FoodQnA	1	Is someone available to listen with me
q_FoodQnA	1	How long has it been since you were born
q_FoodQnA	1	Do I look stunning today
q_FoodQnA	1	I live a lonely life
q_FoodQnA	1	You're the most intelligent
q_FoodQnA	1	Is anyone there to listen
q_FoodQnA	1	I can't take anymore from you
q_FoodQnA	1	I feel so isolated
q_FoodQnA	1	Who developed you
q_FoodQnA	1	Between the two of us who is more clever, you or me
q_FoodQnA	1	Who is your developer
q_FoodQnA	1	UR lame
q_FoodQnA	1	On point
q_FoodQnA	1	I miss you so very much
q_FoodQnA	1	Radical
q_FoodQnA	1	Happy Columbus day
q_FoodQnA	1	Please ask me anything about myself
q_FoodQnA	1	Is anybody available to chat to me
